,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
37,20200623,NY,389085,3111723.0,,1104.0,89995.0,330.0,,228.0,,69710.0,A,6/22/2020 23:59,2020-06-22T23:59:00Z,06/22 19:59,24766,89995.0,2020-06-22T23:59:00Z,,,,389085.0,36,597,48112,3500808,3500808,48709,3500808,27,0,713072b14e3bda9d6b887bd03a6ce161a054465b,0,0,0,0,0,
38,20200623,OH,46127,624310.0,,570.0,7379.0,205.0,1876.0,126.0,,,B,6/23/2020 14:00,2020-06-23T14:00:00Z,06/23 10:00,2735,7379.0,2020-06-23T14:00:00Z,,,,42767.0,39,590,10246,670437,670437,10836,670437,31,87,993a9a195bab56878b1d077dbaba2e913c4d6cab,0,0,0,0,0,
39,20200623,OK,11028,284029.0,,265.0,1288.0,111.0,,,,7888.0,A+,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,371,1288.0,2020-06-23T00:00:00Z,296988.0,12295.0,284029.0,11028.0,40,295,12104,295057,295057,12399,295057,2,20,f71141e65f348517ce5c3d7bb247e4333709a1a0,0,0,0,0,0,
40,20200623,OR,7274,203438.0,,184.0,983.0,58.0,,28.0,,2604.0,A+,6/23/2020 03:01,2020-06-23T03:01:00Z,06/22 23:01,192,983.0,2020-06-23T03:01:00Z,,,,7018.0,41,191,3893,210712,210712,4084,210712,0,14,1b8dd0cc39da0277f65a1e1ef59097d9162e8283,0,0,0,0,0,
41,20200623,PA,82696,596407.0,,738.0,,,,151.0,,64502.0,A+,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,6464,,2020-06-23T00:00:00Z,,,,80347.0,42,510,10745,679103,679103,11255,679103,38,0,8e25f1da5573a7b5d32a89742735e6f021385b4f,0,0,0,0,0,
42,20200623,PR,6685,,,77.0,,9.0,,2.0,,,C,6/23/2020 06:30,2020-06-23T06:30:00Z,06/23 02:30,149,,2020-06-23T06:30:00Z,61515.0,,,1550.0,72,121,0,6685,6685,121,6685,0,0,f432b6c258a82229b6f84c2dbb372acbc2de8cd3,0,0,0,0,0,
43,20200623,RI,16533,205630.0,,105.0,1958.0,19.0,,17.0,,1562.0,A+,6/23/2020 12:00,2020-06-23T12:00:00Z,06/23 08:00,906,1958.0,2020-06-23T12:00:00Z,,,,16533.0,44,74,3421,222163,222163,3495,222163,3,8,70c7bdfec1f815a76bb6855a7390dbcc3fa474da,0,0,0,0,0,
44,20200623,SC,26613,282638.0,,824.0,2377.0,,,,,12317.0,A,6/22/2020 23:59,2020-06-22T23:59:00Z,06/22 19:59,673,2377.0,2020-06-22T23:59:00Z,317438.0,34800.0,282638.0,26572.0,45,912,4459,309251,309251,5371,309251,14,83,c280bc1faa97b7245a0834cdcb47d9f544a68320,0,0,0,0,0,
45,20200623,SD,6353,67633.0,,85.0,624.0,,,,,5497.0,B,6/22/2020 18:00,2020-06-22T18:00:00Z,06/22 14:00,83,624.0,2020-06-22T18:00:00Z,,,,6353.0,46,27,630,73986,73986,657,73986,2,8,83cfcb14e2e54d841fe32091626f08272451c039,0,0,0,0,0,
46,20200623,TN,36303,669116.0,,446.0,2336.0,,,,,24068.0,B,6/23/2020 15:00,2020-06-23T15:00:00Z,06/23 11:00,542,2336.0,2020-06-23T15:00:00Z,705164.0,42154.0,663010.0,36048.0,47,750,4564,705419,705419,5314,705419,11,35,daf1776740e5164c8a8733c1ffc9bfc05a425bf0,0,0,0,0,0,
47,20200623,TX,120370,1476920.0,,4092.0,,,,,,70714.0,B,6/23/2020 16:50,2020-06-23T16:50:00Z,06/23 12:50,2220,,2020-06-23T16:50:00Z,1597290.0,,,,48,5489,42792,1597290,1597290,48281,1597290,28,0,d09fe72a55d77c6980d1eb8fed8b5ad86216b7c9,0,0,0,0,0,
48,20200623,UT,18300,283976.0,,214.0,1226.0,77.0,344.0,,153.0,10057.0,A,6/23/2020 12:09,2020-06-23T12:09:00Z,06/23 08:09,163,1226.0,2020-06-23T12:09:00Z,,,,18300.0,49,394,2570,302276,302276,2964,302276,5,34,9ad296770563cc4698ed587155eb3c9058839bac,0,0,0,0,0,
49,20200623,VA,58994,509383.0,291.0,847.0,8572.0,245.0,,126.0,,7725.0,A+,6/22/2020 17:00,2020-06-22T17:00:00Z,06/22 13:00,1645,8572.0,2020-06-22T17:00:00Z,565835.0,,,56452.0,51,529,9725,568668,568377,10254,568377,25,61,544ee7f29ef3d4e11d571d3ccaafe8d8f6c63e09,0,0,0,0,0,
50,20200623,VI,76,2544.0,33.0,,,,,,,64.0,C,6/22/2020 19:35,2020-06-22T19:35:00Z,06/22 15:35,6,,2020-06-22T19:35:00Z,,,,76.0,78,0,42,2653,2620,42,2620,0,0,c7529cf2334abcb66ff44e1418823b61159dfd93,0,0,0,0,0,
51,20200623,VT,1164,58164.0,,19.0,,,,,,927.0,B,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,56,,2020-06-23T00:00:00Z,,,,1164.0,50,1,720,59328,59328,721,59328,0,0,761a34a45c43d10408a2d45f8f9f300ed89a567c,0,0,0,0,0,
52,20200623,WA,28870,448334.0,,204.0,4062.0,,,37.0,,,B,6/22/2020 02:59,2020-06-22T02:59:00Z,06/21 22:59,1276,4062.0,2020-06-22T02:59:00Z,,,,28870.0,53,190,2076,477204,477204,2266,477204,6,13,9e33299f348a29d1d224ec3886ba87b11ec7d185,0,0,0,0,0,
53,20200623,WI,25331,478165.0,142.0,240.0,3268.0,93.0,716.0,,,19852.0,A+,6/23/2020 16:00,2020-06-23T16:00:00Z,06/23 12:00,750,3268.0,2020-06-23T16:00:00Z,,,,25331.0,55,263,11531,503638,503496,11794,503496,5,37,74312f1a3485f3b282b6a6c62e53d288229fad01,0,0,0,0,0,
54,20200623,WV,2582,151746.0,,21.0,,5.0,,2.0,,1790.0,B,6/23/2020 10:00,2020-06-23T10:00:00Z,06/23 06:00,92,,2020-06-23T10:00:00Z,,,,2493.0,54,30,3094,154328,154328,3124,154328,3,0,f82a358d9b7da71d75b4b6455250e97d815008fc,0,0,0,0,0,
55,20200623,WY,1254,27485.0,,8.0,109.0,,,,,953.0,C,6/23/2020 17:46,2020-06-23T17:46:00Z,06/23 13:46,20,109.0,2020-06-23T17:46:00Z,38300.0,1149.0,37151.0,992.0,56,24,1323,28739,28739,1347,28739,0,4,14af1adcaf8e74e3422c62bb66e963d515974c89,0,0,0,0,0,
